rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,stim,noise,action,scramble,communicative,trial_number,index,workerId,interview_date,response,confidence
841.5,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,216,568503,0.0-8.0-2.49,stim/test/noi020_act03_scr0_con0_tri100.mp4,20,3,0,0,100,50,A11F3MA5FWH6SJ,10/03/2023,no,
3271.3,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,217,571775,0.0-8.0-3.49,stim/test/noi020_act03_scr0_con0_tri100.mp4,20,3,0,0,100,50,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,218,572776,0.0-8.0-0.50,stim/test/noi005_act03_scr1_con1_tri027.mp4,5,3,1,1,27,,,,,
null,,null,video-keyboard-response,219,578503,0.0-8.0-1.50,stim/test/noi005_act03_scr1_con1_tri027.mp4,5,3,1,1,27,,,,,
648.7,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,220,579152,0.0-8.0-2.50,stim/test/noi005_act03_scr1_con1_tri027.mp4,5,3,1,1,27,51,A11F3MA5FWH6SJ,10/03/2023,no,
621.3,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,221,579774,0.0-8.0-3.50,stim/test/noi005_act03_scr1_con1_tri027.mp4,5,3,1,1,27,51,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,222,580784,0.0-8.0-0.51,stim/test/noi020_act06_scr1_con1_tri082.mp4,20,6,1,1,82,,,,,
null,,null,video-keyboard-response,223,585949,0.0-8.0-1.51,stim/test/noi020_act06_scr1_con1_tri082.mp4,20,6,1,1,82,,,,,
417.9,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,224,586367,0.0-8.0-2.51,stim/test/noi020_act06_scr1_con1_tri082.mp4,20,6,1,1,82,52,A11F3MA5FWH6SJ,10/03/2023,no,
1040.4,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,225,587408,0.0-8.0-3.51,stim/test/noi020_act06_scr1_con1_tri082.mp4,20,6,1,1,82,52,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,226,588412,0.0-8.0-0.52,stim/test/noi010_act06_scr0_con0_tri076.mp4,10,6,0,0,76,,,,,
null,,null,video-keyboard-response,227,593565,0.0-8.0-1.52,stim/test/noi010_act06_scr0_con0_tri076.mp4,10,6,0,0,76,,,,,
866.3,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,228,594432,0.0-8.0-2.52,stim/test/noi010_act06_scr0_con0_tri076.mp4,10,6,0,0,76,53,A11F3MA5FWH6SJ,10/03/2023,no,
