"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stim","noise","action","scramble","communicative","trial_number","index","workerId","response"
"null","","null","video-keyboard-response","167","475080","0.0-8.0-1.37","stim/test/noi020_act08_scr0_con1_tri005.mp4","020","08","0","1","005","","",""
"1930.6000000089407","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","168","477011","0.0-8.0-2.37","stim/test/noi020_act08_scr0_con1_tri005.mp4","020","08","0","1","005","38","A2PR7FI9TP8XLD","no"
"883.2000000029802","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","53","html-keyboard-response","169","477895","0.0-8.0-3.37","stim/test/noi020_act08_scr0_con1_tri005.mp4","020","08","0","1","005","38","A2PR7FI9TP8XLD","5"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","170","478908","0.0-8.0-0.38","stim/test/noi010_act10_scr1_con0_tri013.mp4","010","10","1","0","013","","",""
"null","","null","video-keyboard-response","171","485095","0.0-8.0-1.38","stim/test/noi010_act10_scr1_con0_tri013.mp4","010","10","1","0","013","","",""
"560.5","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","172","485656","0.0-8.0-2.38","stim/test/noi010_act10_scr1_con0_tri013.mp4","010","10","1","0","013","39","A2PR7FI9TP8XLD","no"
"1117.6000000089407","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","173","486774","0.0-8.0-3.38","stim/test/noi010_act10_scr1_con0_tri013.mp4","010","10","1","0","013","39","A2PR7FI9TP8XLD","3"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","174","487776","0.0-8.0-0.39","stim/test/noi010_act01_scr0_con1_tri001.mp4","010","01","0","1","001","","",""
"null","","null","video-keyboard-response","175","492910","0.0-8.0-1.39","stim/test/noi010_act01_scr0_con1_tri001.mp4","010","01","0","1","001","","",""
"1073.8999999910593","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","176","493984","0.0-8.0-2.39","stim/test/noi010_act01_scr0_con1_tri001.mp4","010","01","0","1","001","40","A2PR7FI9TP8XLD","no"
